,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
268,GZCO,0.0,18,03 Agt 2020,31 Agt 2020,11705000,234100,53,12--,202008
269,HADE,0.0,18,03 Agt 2020,31 Agt 2020,25000,500,4,91--,202008
270,HDFA,-9.09,18,03 Agt 2020,31 Agt 2020,1236700,8500,24,82--,202008
271,HDIT,-20.8,18,03 Agt 2020,31 Agt 2020,18914800,44400,114,91--,202008
272,HDTX,0.0,18,03 Agt 2020,31 Agt 2020,0,0,0,43--,202008
273,HEAL,3.61,18,03 Agt 2020,31 Agt 2020,31298804000,9979600,2815,96--,202008
274,HELI,-0.5,18,03 Agt 2020,31 Agt 2020,38887500,194400,99,74--,202008
275,HERO,-5.14,18,03 Agt 2020,31 Agt 2020,209311500,251000,307,93--,202008
276,HEXA,6.23,18,03 Agt 2020,31 Agt 2020,13879361000,3900100,2788,91--,202008
277,HITS,7.77,18,03 Agt 2020,31 Agt 2020,108000700,186700,167,74--,202008
278,HKMU,7.41,18,03 Agt 2020,31 Agt 2020,108413280000,1335813100,36704,91--,202008
279,HMSP,-3.23,18,03 Agt 2020,31 Agt 2020,1413363242500,834698600,124366,52--,202008
280,HOKI,0.74,18,03 Agt 2020,31 Agt 2020,198994852000,299966000,19728,51--,202008
281,HOME,0.0,18,03 Agt 2020,31 Agt 2020,0,0,0,94--,202008
282,HOTL,0.0,18,03 Agt 2020,31 Agt 2020,10775000,215500,73,94--,202008
283,HRME,-7.41,18,03 Agt 2020,31 Agt 2020,9129296000,175807000,7604,94--,202008
284,HRTA,0.0,18,03 Agt 2020,31 Agt 2020,4699422600,19116900,3366,59--,202008
285,HRUM,28.81,18,03 Agt 2020,31 Agt 2020,92905167000,64241800,14553,21--,202008
286,IATA,0.0,18,03 Agt 2020,31 Agt 2020,29770000,595400,13,74--,202008
287,IBFN,-4.46,18,03 Agt 2020,31 Agt 2020,141394000,483000,84,82--,202008
288,IBST,-3.05,18,03 Agt 2020,31 Agt 2020,795000,100,1,75--,202008
289,ICBP,11.14,18,03 Agt 2020,31 Agt 2020,2028484212500,201519300,117678,51--,202008
290,ICON,0.0,18,03 Agt 2020,31 Agt 2020,606096000,10819000,305,94--,202008
291,IDPR,-10.11,18,03 Agt 2020,31 Agt 2020,120319900,701300,379,62--,202008
292,IFII,0.0,18,03 Agt 2020,31 Agt 2020,1679685300,12525400,2503,37--,202008
293,IFSH,-26.67,18,03 Agt 2020,31 Agt 2020,99955200,273700,136,23--,202008
294,IGAR,20.59,18,03 Agt 2020,31 Agt 2020,2386534800,7472900,1742,35--,202008
295,IIKP,0.0,18,03 Agt 2020,31 Agt 2020,0,0,0,51--,202008
296,IKAI,0.0,18,03 Agt 2020,31 Agt 2020,1910000,38200,25,94--,202008
297,IKAN,-36.89,18,03 Agt 2020,31 Agt 2020,243884384400,432169600,79228,51--,202008
298,IKBI,10.09,18,03 Agt 2020,31 Agt 2020,148758800,640500,275,45--,202008
299,IMAS,25.0,18,03 Agt 2020,31 Agt 2020,457697837000,614868200,67037,42--,202008
300,IMJS,19.51,18,03 Agt 2020,31 Agt 2020,248070483000,829391300,35692,82--,202008
301,IMPC,-1.19,18,03 Agt 2020,31 Agt 2020,14316519500,11425500,1462,35--,202008
302,INAF,34.21,18,03 Agt 2020,31 Agt 2020,913918098000,293906200,108137,53--,202008
303,INAI,2.23,18,03 Agt 2020,31 Agt 2020,131853000,379500,189,33--,202008
304,INCF,0.0,18,03 Agt 2020,31 Agt 2020,393496300,7840200,294,39--,202008
305,INCI,-0.74,18,03 Agt 2020,31 Agt 2020,4558605000,6647300,3396,34--,202008
306,INCO,10.82,18,03 Agt 2020,31 Agt 2020,891717679000,243690200,59285,23--,202008
307,INDF,18.22,18,03 Agt 2020,31 Agt 2020,1889380915000,265375900,104178,51--,202008
308,INDO,-22.52,18,03 Agt 2020,31 Agt 2020,1364189400,10567800,2676,61--,202008
309,INDR,-8.79,18,03 Agt 2020,31 Agt 2020,3984205000,1778300,387,43--,202008
310,INDS,-1.87,18,03 Agt 2020,31 Agt 2020,459039500,225100,377,42--,202008
311,INDX,0.0,18,03 Agt 2020,31 Agt 2020,13236600,246800,94,99--,202008
312,INDY,4.59,18,03 Agt 2020,31 Agt 2020,478327804500,457746500,64410,21--,202008
313,INKP,19.23,18,03 Agt 2020,31 Agt 2020,1934373527500,212868700,104800,38--,202008
314,INOV,-7.69,18,03 Agt 2020,31 Agt 2020,454775600,1867400,647,39--,202008
315,INPC,2.0,18,03 Agt 2020,31 Agt 2020,258861900,5167700,662,81--,202008
316,INPP,0.0,18,03 Agt 2020,31 Agt 2020,57655500,82700,74,61--,202008
317,INPS,-15.77,18,03 Agt 2020,31 Agt 2020,5068542000,3316700,1581,91--,202008
318,INRU,4.58,18,03 Agt 2020,31 Agt 2020,15712000,19700,35,38--,202008
319,INTA,-12.0,18,03 Agt 2020,31 Agt 2020,166549600,609600,169,91--,202008
320,INTD,-8.57,18,03 Agt 2020,31 Agt 2020,21780800,153700,145,91--,202008
321,INTP,-4.04,18,03 Agt 2020,31 Agt 2020,1018039960000,84536000,55634,31--,202008
322,IPCC,-4.17,18,03 Agt 2020,31 Agt 2020,45520356200,107945800,20079,72--,202008
323,IPCM,5.71,18,03 Agt 2020,31 Agt 2020,1550111800,6994900,1637,74--,202008
324,IPOL,16.9,18,03 Agt 2020,31 Agt 2020,1540400500,18046500,2323,35--,202008
325,IPTV,-10.37,18,03 Agt 2020,31 Agt 2020,215738033600,675966800,105678,95--,202008
326,IRRA,8.33,18,03 Agt 2020,31 Agt 2020,76301722500,130699700,17311,91--,202008
327,ISAT,0.0,18,03 Agt 2020,31 Agt 2020,254069591000,105255900,39160,73--,202008
328,ISSP,-0.78,18,03 Agt 2020,31 Agt 2020,19702933000,149376100,10394,33--,202008
329,ITIC,-10.06,18,03 Agt 2020,31 Agt 2020,17809428000,21360200,12059,52--,202008
330,ITMA,21.95,18,03 Agt 2020,31 Agt 2020,1876292700,3297700,907,99--,202008
331,ITMG,4.75,18,03 Agt 2020,31 Agt 2020,676960440000,82438900,58170,21--,202008
332,JAST,-15.58,18,03 Agt 2020,31 Agt 2020,23590680600,345360200,25249,73--,202008
333,JAWA,-15.87,18,03 Agt 2020,31 Agt 2020,144749800,2762100,484,12--,202008
334,JAYA,-5.13,18,03 Agt 2020,31 Agt 2020,1652160000,21981200,4030,74--,202008
335,JECC,-5.15,18,03 Agt 2020,31 Agt 2020,734987500,117500,67,45--,202008
336,JGLE,0.0,18,03 Agt 2020,31 Agt 2020,15000,300,3,94--,202008
337,JIHD,-2.01,18,03 Agt 2020,31 Agt 2020,270533600,602500,161,94--,202008
338,JKON,0.0,18,03 Agt 2020,31 Agt 2020,1981724200,5837600,203,62--,202008
339,JKSW,0.0,18,03 Agt 2020,31 Agt 2020,0,0,0,33--,202008
340,JMAS,-13.3,18,03 Agt 2020,31 Agt 2020,116251500,617500,431,84--,202008
341,JPFA,15.09,18,03 Agt 2020,31 Agt 2020,824894977000,728777900,90018,36--,202008
342,JRPT,4.85,18,03 Agt 2020,31 Agt 2020,13064213200,30699900,5058,61--,202008
343,JSKY,38.46,18,03 Agt 2020,31 Agt 2020,67901271900,717072200,31230,46--,202008
344,JSMR,-0.51,18,03 Agt 2020,31 Agt 2020,595559388000,148389600,58156,72--,202008
345,JSPT,3.52,18,03 Agt 2020,31 Agt 2020,44542000,44200,22,94--,202008
346,JTPE,8.55,18,03 Agt 2020,31 Agt 2020,23126413000,28973800,764,95--,202008
347,KAEF,35.11,18,03 Agt 2020,31 Agt 2020,3052249490000,972009400,273297,53--,202008
348,KARW,0.0,18,03 Agt 2020,31 Agt 2020,6631500,132000,69,72--,202008
349,KAYU,-1.96,18,03 Agt 2020,31 Agt 2020,287152700,5738100,562,91--,202008
350,KBAG,-67.38,18,03 Agt 2020,31 Agt 2020,30742940500,213234100,27125,61--,202008
351,KBLI,-18.42,18,03 Agt 2020,31 Agt 2020,32551397600,97747500,9418,45--,202008
352,KBLM,-5.45,18,03 Agt 2020,31 Agt 2020,1639948100,8129000,1617,45--,202008
353,KBLV,2.31,18,03 Agt 2020,31 Agt 2020,74330600,223200,98,95--,202008
354,KBRI,0.0,18,03 Agt 2020,31 Agt 2020,0,0,0,38--,202008
355,KDSI,2.63,18,03 Agt 2020,31 Agt 2020,1277455000,1736300,249,38--,202008
356,KEEN,-18.13,18,03 Agt 2020,31 Agt 2020,30959403800,86067300,10807,71--,202008
357,KEJU,19.51,18,03 Agt 2020,31 Agt 2020,4478901500,4090400,1649,51--,202008
358,KIAS,0.0,18,03 Agt 2020,31 Agt 2020,1640000,32800,13,32--,202008
359,KICI,-6.4,18,03 Agt 2020,31 Agt 2020,33998600,130800,83,55--,202008
360,KIJA,-9.43,18,03 Agt 2020,31 Agt 2020,4693663900,32565100,3007,61--,202008
361,KINO,-4.82,18,03 Agt 2020,31 Agt 2020,19164875000,5936600,2329,54--,202008
362,KIOS,-1.71,18,03 Agt 2020,31 Agt 2020,28612500,150200,196,93--,202008
363,KJEN,17.27,18,03 Agt 2020,31 Agt 2020,10119500,7600,39,74--,202008
364,KKGI,-8.17,18,03 Agt 2020,31 Agt 2020,502259900,2508800,270,21--,202008
365,KLBF,0.96,18,03 Agt 2020,31 Agt 2020,1264940784000,790818700,108876,53--,202008
366,KMTR,0.63,18,03 Agt 2020,31 Agt 2020,324449000,1051900,376,39--,202008
367,KOBX,10.99,18,03 Agt 2020,31 Agt 2020,886769700,9249700,1310,91--,202008
368,KOIN,0.0,18,03 Agt 2020,31 Agt 2020,4224300,41800,38,93--,202008
369,KONI,1.65,18,03 Agt 2020,31 Agt 2020,2810200,5600,12,91--,202008
370,KOPI,0.99,18,03 Agt 2020,31 Agt 2020,229942300,456900,117,71--,202008
371,KOTA,-4.48,18,03 Agt 2020,31 Agt 2020,113130101000,177616000,7912,61--,202008
372,KPAL,-9.68,18,03 Agt 2020,31 Agt 2020,6905638600,114836700,7012,41--,202008
373,KPAS,0.0,18,03 Agt 2020,31 Agt 2020,410044300,8196600,577,54--,202008
374,KPIG,-1.87,18,03 Agt 2020,31 Agt 2020,24320693100,223076400,36488,94--,202008
375,KRAH,-8.02,18,03 Agt 2020,31 Agt 2020,7501300,16800,37,41--,202008
376,KRAS,2.11,18,03 Agt 2020,31 Agt 2020,737528510000,1870331000,117509,33--,202008
377,KREN,12.96,18,03 Agt 2020,31 Agt 2020,184161910800,1751745800,93197,98--,202008
378,LAND,-3.43,18,03 Agt 2020,31 Agt 2020,572696100,2860100,822,61--,202008
379,LAPD,0.0,18,03 Agt 2020,31 Agt 2020,0,0,0,71--,202008
380,LCGP,0.0,18,03 Agt 2020,31 Agt 2020,0,0,0,61--,202008
381,LCKM,1.61,18,03 Agt 2020,31 Agt 2020,114376400,306600,60,75--,202008
382,LEAD,0.0,18,03 Agt 2020,31 Agt 2020,10630000,212600,64,74--,202008
383,LIFE,2.46,18,03 Agt 2020,31 Agt 2020,123567500,21600,80,84--,202008
384,LINK,-4.2,18,03 Agt 2020,31 Agt 2020,68264275500,36005300,20198,95--,202008
385,LION,-21.18,18,03 Agt 2020,31 Agt 2020,101083600,351100,253,33--,202008
386,LMAS,0.0,18,03 Agt 2020,31 Agt 2020,22185000,443700,67,97--,202008
387,LMPI,-8.54,18,03 Agt 2020,31 Agt 2020,34211600,440100,108,55--,202008
388,LMSH,-4.0,18,03 Agt 2020,31 Agt 2020,1900600,7700,10,33--,202008
