Stock Code,change %,change YtM %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Year,Month
HDFA,0.0,-48.94,17,05 Jun 2023,27 Jun 2023,206501800,1411200,785,G211,2023,06
HDIT,0.0,-90.48,17,05 Jun 2023,27 Jun 2023,27840000,556800,139,I111,2023,06
HDTX,0.0,-4.76,17,05 Jun 2023,27 Jun 2023,0,0,0,E413,2023,06
HEAL,2.66,-47.27,17,05 Jun 2023,27 Jun 2023,99872066500,74175400,38466,F121,2023,06
HELI,-8.77,28.93,17,05 Jun 2023,27 Jun 2023,16691000,102100,147,K111,2023,06
HERO,-1.06,76.58,17,05 Jun 2023,27 Jun 2023,554310000,408100,838,D113,2023,06
HEXA,8.41,103.51,17,05 Jun 2023,27 Jun 2023,18461250000,3290900,4127,C141,2023,06
HILL,4.26,115.2,17,05 Jun 2023,27 Jun 2023,611188385000,215260500,105556,A132,2023,06
HITS,-8.41,-30.0,17,05 Jun 2023,27 Jun 2023,10660008200,22742700,9761,A112,2023,06
HKMU,0.0,-86.56,17,05 Jun 2023,27 Jun 2023,1835000,36700,23,B141,2023,06
HMSP,-3.57,-74.53,17,05 Jun 2023,27 Jun 2023,498041815500,509565000,51383,D311,2023,06
HOKI,-7.87,-88.77,17,05 Jun 2023,27 Jun 2023,14820695000,171739100,49271,D222,2023,06
HOME,0.0,-56.9,17,05 Jun 2023,27 Jun 2023,0,0,0,E512,2023,06
HOMI,20.0,105.26,17,05 Jun 2023,27 Jun 2023,196114102800,295452100,38693,H111,2023,06
HOPE,0.0,-57.63,17,05 Jun 2023,27 Jun 2023,54905400,1097500,147,C141,2023,06
HOTL,0.0,-50.98,17,05 Jun 2023,27 Jun 2023,0,0,0,E512,2023,06
HRME,0.0,-52.38,17,05 Jun 2023,27 Jun 2023,37735000,754700,73,E512,2023,06
HRTA,0.5,31.37,17,05 Jun 2023,27 Jun 2023,467466182800,1199868300,88186,E411,2023,06
HRUM,0.71,1.43,17,05 Jun 2023,27 Jun 2023,349920602000,242837400,45213,A121,2023,06
IATA,-7.58,22.0,17,05 Jun 2023,27 Jun 2023,37062137600,549351900,91165,A121,2023,06
IBFN,-44.33,-79.55,17,05 Jun 2023,27 Jun 2023,610900,9800,27,G211,2023,06
IBOS,-10.94,242.0,17,05 Jun 2023,27 Jun 2023,21859771400,61275600,9946,D222,2023,06
IBST,-3.86,-32.53,17,05 Jun 2023,27 Jun 2023,9047500,1600,10,J321,2023,06
ICBP,-3.21,8.37,17,05 Jun 2023,27 Jun 2023,1873832515000,165775800,53691,D222,2023,06
ICON,0.0,-48.98,17,05 Jun 2023,27 Jun 2023,5925000,118500,75,C224,2023,06
IDEA,73.63,12.86,17,05 Jun 2023,27 Jun 2023,2780227000,23494800,3387,E521,2023,06
IDPR,-1.96,-83.15,17,05 Jun 2023,27 Jun 2023,352313900,2357200,407,J211,2023,06
IFII,-1.07,76.19,17,05 Jun 2023,27 Jun 2023,206336300,1110600,412,B151,2023,06
IFSH,4.5,137.5,17,05 Jun 2023,27 Jun 2023,60476500,59400,126,B146,2023,06
IGAR,0.0,8.85,17,05 Jun 2023,27 Jun 2023,1125319400,2648700,889,B131,2023,06
IIKP,0.0,-79.17,17,05 Jun 2023,27 Jun 2023,0,0,0,E321,2023,06
IKAI,0.0,-70.59,17,05 Jun 2023,27 Jun 2023,270000,5400,10,E512,2023,06
IKAN,0.0,-52.5,17,05 Jun 2023,27 Jun 2023,2523993600,44454100,4757,D231,2023,06
IKBI,1.9,-17.05,17,05 Jun 2023,27 Jun 2023,71823400,342900,135,C131,2023,06
IMAS,1.41,0.0,17,05 Jun 2023,27 Jun 2023,213517119500,97576700,34818,E745,2023,06
IMJS,13.75,-44.0,17,05 Jun 2023,27 Jun 2023,17139167800,49133500,7846,G211,2023,06
IMPC,-89.37,-58.72,17,05 Jun 2023,27 Jun 2023,261286407600,294240100,22297,C121,2023,06
INAF,5.0,-90.31,17,05 Jun 2023,27 Jun 2023,1243978000,1924000,1646,F211,2023,06
INAI,-0.88,-44.88,17,05 Jun 2023,27 Jun 2023,176992200,816500,179,B141,2023,06
INCF,0.0,-81.88,17,05 Jun 2023,27 Jun 2023,17710000,354200,182,B153,2023,06
INCI,4.55,0.0,17,05 Jun 2023,27 Jun 2023,371850500,662400,422,B111,2023,06
INCO,0.0,93.25,17,05 Jun 2023,27 Jun 2023,578413487500,89062600,46416,B146,2023,06
INDF,3.52,-1.34,17,05 Jun 2023,27 Jun 2023,1334222060000,181421900,60746,D222,2023,06
INDO,2.13,-12.73,17,05 Jun 2023,27 Jun 2023,6732251500,70148300,39184,H112,2023,06
INDR,6.93,-27.09,17,05 Jun 2023,27 Jun 2023,3583259000,864200,1386,E413,2023,06
INDS,2.67,4.05,17,05 Jun 2023,27 Jun 2023,1971109000,856500,834,E111,2023,06
INDX,-8.09,101.27,17,05 Jun 2023,27 Jun 2023,58821437700,277954800,86306,C232,2023,06
INDY,11.37,20.5,17,05 Jun 2023,27 Jun 2023,209367538500,109531600,37250,A121,2023,06
INKP,23.19,-26.41,17,05 Jun 2023,27 Jun 2023,1268455910000,160677700,74884,B152,2023,06
INOV,3.7,-44.0,17,05 Jun 2023,27 Jun 2023,1513781600,10715000,1333,E413,2023,06
INPC,3.08,8.06,17,05 Jun 2023,27 Jun 2023,1496712300,22518400,1555,G111,2023,06
INPP,4.0,-33.14,17,05 Jun 2023,27 Jun 2023,36087400,80700,83,H111,2023,06
