,Stock Code,change %,Total Trading,Start Trading,End Trading,Total Value,Total Volume,Total Frequency,Sektor ID,Periode
384,MICE,12.3,19,01 Feb 2019,28 Feb 2019,3195035200,7930500,1974,,201902
385,MIDI,0.0,19,01 Feb 2019,28 Feb 2019,7369234000,7224700,15,,201902
386,MIKA,28.48,19,01 Feb 2019,28 Feb 2019,131842860500,75549700,16398,,201902
387,MINA,-3.01,19,01 Feb 2019,28 Feb 2019,11137196000,15791200,2206,,201902
388,MIRA,0.0,19,01 Feb 2019,28 Feb 2019,533748400,10672200,235,,201902
389,MITI,-1.92,19,01 Feb 2019,28 Feb 2019,7795712600,139103300,7502,,201902
390,MKNT,-3.89,19,01 Feb 2019,28 Feb 2019,2428699200,13824200,687,,201902
391,MKPI,-6.77,19,01 Feb 2019,28 Feb 2019,102537500,6600,40,,201902
392,MLBI,9.1,19,01 Feb 2019,28 Feb 2019,17472837500,1038700,1021,,201902
393,MLIA,-0.4,19,01 Feb 2019,28 Feb 2019,10992294500,8986500,3470,,201902
394,MLPL,13.45,19,01 Feb 2019,28 Feb 2019,136443538400,923346900,37873,,201902
395,MLPT,-9.39,19,01 Feb 2019,28 Feb 2019,3497782000,4371700,57,,201902
396,MMLP,-3.33,19,01 Feb 2019,28 Feb 2019,4048892400,8915900,628,,201902
397,MNCN,10.65,19,01 Feb 2019,28 Feb 2019,703023324000,765288300,54298,,201902
398,MOLI,5.56,19,01 Feb 2019,28 Feb 2019,2555280000,2338800,530,,201902
399,MPMX,10.44,19,01 Feb 2019,28 Feb 2019,67592530000,68414500,5370,,201902
400,MPOW,-4.63,19,01 Feb 2019,28 Feb 2019,54511900,505000,235,,201902
401,MPPA,109.89,19,01 Feb 2019,28 Feb 2019,121323954100,382456600,39132,,201902
402,MPRO,3.23,19,01 Feb 2019,28 Feb 2019,2941354000,3769000,608,,201902
403,MRAT,3.03,19,01 Feb 2019,28 Feb 2019,6860631200,41006000,3868,,201902
404,MREI,-5.88,19,01 Feb 2019,28 Feb 2019,222195000,34900,88,,201902
405,MSIN,16.11,19,01 Feb 2019,28 Feb 2019,12928307400,39348300,8284,,201902
406,MSKY,8.2,19,01 Feb 2019,28 Feb 2019,5462618000,4996500,479,,201902
407,MTDL,8.38,19,01 Feb 2019,28 Feb 2019,90070287000,95667600,9782,,201902
408,MTFN,0.0,19,01 Feb 2019,28 Feb 2019,0,0,0,,201902
409,MTLA,4.91,19,01 Feb 2019,28 Feb 2019,1204126200,2666400,120,,201902
410,MTRA,-0.52,19,01 Feb 2019,28 Feb 2019,1220333200,3188000,507,,201902
411,MTSM,47.06,19,01 Feb 2019,28 Feb 2019,148354600,699400,710,,201902
412,MTWI,2.94,19,01 Feb 2019,28 Feb 2019,1143420300,15348200,2029,,201902
413,MYOH,14.71,19,01 Feb 2019,28 Feb 2019,5589282500,4423000,1150,,201902
414,MYOR,2.33,19,01 Feb 2019,28 Feb 2019,178562026000,67799400,21635,,201902
415,MYRX,-7.41,19,01 Feb 2019,28 Feb 2019,1306584737100,12429610800,19734,,201902
416,MYRXP,0.0,19,01 Feb 2019,28 Feb 2019,5115500,102300,14,,201902
417,MYTX,0.0,19,01 Feb 2019,28 Feb 2019,158532500,1753900,235,,201902
