Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq,year,month
UNIC,--U-1135000000B111------------,12225,0,04 Apr 2022,12800,11800,12800,575,5800,70927500,28,2022,04
UNIQ,--U-1130000000A132------------,77,0,04 Apr 2022,79,77,78,1,379100,29586300,70,2022,04
UNIT,--U-2100000000E413---L---Y----,316,0,04 Apr 2022,0,0,316,0,0,0,0,2022,04
UNSP,--U-1100000000D232-E----------,121,0,04 Apr 2022,123,120,122,1,133900,16313800,220,2022,04
UNTR,--MO1XNGQG6000C141------------,25925,26200,04 Apr 2022,26775,26050,26775,850,4929600,131025692500,6891,2022,04
UNVR,--MO1SSAQD6000D421------------,3620,3630,04 Apr 2022,3660,3540,3570,-50,36823300,131887764000,8567,2022,04
URBN,--U-2135000000H111------------,466,0,04 Apr 2022,468,462,468,2,203000,94100200,74,2022,04
UVCR,--U-3000000000I111------------,216,0,04 Apr 2022,216,210,210,-6,1163900,247344400,222,2022,04
VICI,--M-1135000000D421------------,535,0,04 Apr 2022,540,525,535,0,3301500,1742613500,531,2022,04
VICO,--U-1105000000G511------------,189,0,04 Apr 2022,232,187,216,27,19278100,4090102100,5373,2022,04
VINS,--U-2100000000G412------------,175,0,04 Apr 2022,185,168,170,-5,1049400,185238000,270,2022,04
VIVA,--U-1100000000E612------------,50,0,04 Apr 2022,50,50,50,0,178700,8935000,35,2022,04
VOKS,--U-1130000000C131------------,175,0,04 Apr 2022,183,175,178,3,15500,2799300,29,2022,04
VRNA,--U-2100000000G211------------,116,0,04 Apr 2022,117,113,115,-1,86600,9876500,82,2022,04
WAPO,--U-2130000000D232------------,129,0,04 Apr 2022,136,129,131,2,411200,54390800,101,2022,04
WEGE,--M-1135052000J211------------,182,0,04 Apr 2022,184,182,183,1,2439700,446508900,313,2022,04
WEHA,--U-1130000000K132------------,183,0,04 Apr 2022,186,179,186,3,13437500,2461015200,1122,2022,04
WGSH,--U-3000000000I131------------,190,0,04 Apr 2022,194,182,186,-4,3699800,686895800,593,2022,04
WICO,--U-2100000000D112------------,398,0,04 Apr 2022,394,382,392,-6,2100,811400,7,2022,04
WIFI,--M-2135000000E611------------,505,0,04 Apr 2022,530,494,500,-5,501600,255747900,264,2022,04
WIIM,--M-1800000000D311------------,474,0,04 Apr 2022,505,474,498,24,19033500,9393088900,2577,2022,04
WIKA,--MO1XAMVC6000J211------------,995,995,04 Apr 2022,1000,990,995,0,6705300,6658027500,1725,2022,04
WINS,--U-1130000000A132------------,165,0,04 Apr 2022,174,165,173,8,12170100,2087562800,1721,2022,04
WIRG,--U-2130000000I131------------,168,0,04 Apr 2022,226,226,226,58,7415400,1675880400,3312,2022,04
WMPP,--M-1135000000D231------------,133,0,04 Apr 2022,141,133,137,4,20828800,2864711000,1273,2022,04
WMUU,--M-1835F00000D231------------,162,0,04 Apr 2022,166,161,164,2,43297700,7090388800,8764,2022,04
WOMF,--U-1100000000G211------------,364,0,04 Apr 2022,340,340,340,-24,1035100,351934000,191,2022,04
WOOD,--M-187F400000E211------------,730,0,04 Apr 2022,735,715,730,0,6271800,4543269500,775,2022,04
WOWS,--U-2130000000A132------------,50,0,04 Apr 2022,50,50,50,0,833900,41695000,57,2022,04
WSBP,--U-1105000000B121M-----------,95,0,04 Apr 2022,0,0,95,0,0,0,0,2022,04
WSKT,--UO1H49L01000J211------------,555,560,04 Apr 2022,560,545,550,-5,25100900,13771637000,3977,2022,04
WTON,--M-1135052000B121------------,214,0,04 Apr 2022,216,214,216,2,3260400,701273000,316,2022,04
YELO,--U-2130000000E522------------,112,0,04 Apr 2022,117,112,113,1,27304400,3122651100,3476,2022,04
YPAS,--U-2130000000B131------------,925,0,04 Apr 2022,1050,935,980,55,204500,203949000,261,2022,04
YULE,--U-2105000000G312------------,2020,0,04 Apr 2022,0,0,2020,0,0,0,0,2022,04
ZBRA,--U-2135000000C311------------,625,0,04 Apr 2022,625,600,625,0,1265800,774945000,274,2022,04
ZINC,--U-2105000000B146------------,90,0,04 Apr 2022,91,89,91,1,538826000,48534340600,1985,2022,04
ZONE,--U-2130000000E741------------,630,0,04 Apr 2022,655,625,655,25,346700,219671000,110,2022,04
ZYRX,--U-2830000000I221------------,600,0,04 Apr 2022,645,595,600,0,13602500,8378856000,1644,2022,04
