Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
MAYA,--U-1105000000G111------------,655,0,22 Feb 2022,725,645,705,50,9751600,6733506500,2004
MBAP,--U-2135000000A121------------,3660,0,22 Feb 2022,3690,3660,3690,30,100100,368229000,195
MBSS,--M-1135000000A122------------,800,0,22 Feb 2022,805,785,800,0,630400,499693000,221
MBTO,--U-1130000000D421------------,114,0,22 Feb 2022,119,114,116,2,95100,11126400,72
MCAS,--U-2135000000I111------------,11725,0,22 Feb 2022,11725,11325,11450,-275,323500,3736447500,287
MCOL,--M-1135000000A121------------,3520,0,22 Feb 2022,3580,3520,3540,20,836500,2970850000,159
MCOR,--M-1155000000G111------------,105,0,22 Feb 2022,106,104,105,0,4905900,515398800,239
MDIA,--U-1135000000E612------------,50,0,22 Feb 2022,51,50,50,0,2879700,144096200,118
MDKA,--UO2U8D501000B143------------,3810,3810,22 Feb 2022,3840,3690,3780,-30,56416000,211996327000,11184
MDKI,--M-1130000000B111------------,204,0,22 Feb 2022,206,202,204,0,878600,178778600,124
MDLN,--U-1135000000H111------------,98,0,22 Feb 2022,98,95,95,-3,40985200,3927863800,1507
MDRN,--U-1100000000C223-E----------,50,0,22 Feb 2022,50,50,50,0,10900,545000,3
MEDC,--MO1H0M960000A111------------,555,560,22 Feb 2022,580,560,570,15,69981700,39862102500,6148
MEGA,--U-1150000000G111------------,9550,0,22 Feb 2022,9600,9550,9600,50,9300,89180000,30
MERK,--U-2135000000F211------------,3900,0,22 Feb 2022,3950,3900,3940,40,57200,223575000,35
META,--M-1135000000J112------------,111,0,22 Feb 2022,113,110,111,0,952400,105897900,127
MFIN,--U-2105000000G211------------,1115,0,22 Feb 2022,1115,1110,1110,-5,7000,7770500,2
MFMI,--U-2100000000C224------------,875,0,22 Feb 2022,875,830,830,-45,19000,16203500,27
MGLV,--U-3000000000E211------------,208,0,22 Feb 2022,210,190,208,0,69000,13781700,41
MGNA,--U-2100000000G512-E--S------X,50,0,22 Feb 2022,0,0,50,0,0,0,0
MGRO,--U-1105000000D232------------,885,0,22 Feb 2022,885,855,855,-30,4119200,3593211000,172
MICE,--U-2130000000E213------------,366,0,22 Feb 2022,382,348,366,0,321500,115225800,125
MIDI,--U-2135000000D113------------,2110,0,22 Feb 2022,2100,2030,2030,-80,400,820000,4
MIKA,--MO1XKCM30000F121------------,2200,2200,22 Feb 2022,2210,2160,2190,-10,21898000,47831951000,2602
MINA,--U-2130000000E512------------,50,0,22 Feb 2022,50,50,50,0,49800,2490000,9
MIRA,--U-2130000000K211------------,50,0,22 Feb 2022,50,50,50,0,26200,1310000,4
MITI,--U-2130000000A111------------,248,0,22 Feb 2022,252,238,242,-6,7008600,1705555600,1428
MKNT,--U-2130000000E711------------,50,0,22 Feb 2022,50,50,50,0,1500,75000,3
MKPI,--U-2135000000H111------------,24925,0,22 Feb 2022,0,0,24925,0,0,0,0
MLBI,--U-1105000000D211------------,7750,0,22 Feb 2022,7825,7775,7775,25,112800,877845000,89
