No,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
119,BNLI,Bank Permata Tbk.,--M-100000000081--------------,2170,0,10 Nov 2020,0,2220,2160,2220,50,1722800,3791594000,805,24.2,2220,100000,2210,12100,27762311813,27762311813,0,9100,9100,0,0,0
120,BOGA,Bintang Oto Global Tbk.,--U-213500000091--------------,1395,0,10 Nov 2020,0,1415,1395,1395,0,109674000,154187890000,4234,1354.4,1400,2800,1395,201600,3803526210,3803526210,3803526210,0,2176900,49000000,68355000000,1
121,BOLA,Bali Bintang Sejahtera Tbk.,--U-213000000099--------------,153,0,10 Nov 2020,0,154,146,147,-6,221000,33096200,58,84.0,150,17200,147,25800,6000000000,6000000000,6000000000,0,0,0,0,0
122,BOLT,Garuda Metalindo Tbk.,--U-213500000042--------------,560,0,10 Nov 2020,0,690,525,690,130,900,601000,6,125.5,690,900,675,1000,2343750000,2343750000,2343750000,0,0,0,0,0
123,BOSS,Borneo Olah Sarana Sukses Tbk.,--U-213000000021--------------,114,0,10 Nov 2020,0,118,109,111,-3,6023900,668224300,566,27.8,112,226900,111,736400,1400000000,1400000000,1400000000,0,383800,0,0,0
124,BPFI,Batavia Prosperindo Finance Tbk.,--U-210500000082--------------,1150,0,10 Nov 2020,0,0,0,1150,0,0,0,0,1226.4,1200,27400,1150,32900,1782663575,1782663575,1782663583,0,0,0,0,0
125,BPII,Batavia Prosperindo Internasional Tbk.,--U-210500000089--------------,10000,0,10 Nov 2020,0,0,0,10000,0,0,0,0,2000.0,0,0,0,0,562224662,562224662,562224662,0,0,0,0,0
126,BPTR,Batavia Prosperindo Trans Tbk.,--M-110000000074--------------,86,0,10 Nov 2020,0,87,82,82,-4,12000,1001300,7,82.0,85,18100,82,200,1550000000,1550000000,1550000000,0,0,0,0,0
127,BRAM,Indo Kordsa Tbk.,--U-113500000042--------------,5375,0,10 Nov 2020,0,5375,5375,5375,0,500,2687500,5,209.2,5725,200,0,0,450000000,450000000,450000000,0,0,0,0,0
128,BRIS,Bank BRIsyariah Tbk.,--M-1835F0000081--------------,1220,0,10 Nov 2020,0,1245,1210,1230,10,73199200,89869573000,10476,241.2,1235,5806800,1230,183800,9728380263,9728380263,9728380263,735200,1474500,0,0,0
129,BRMS,Bumi Resources Minerals Tbk.,--U-213500000023--------------,65,0,10 Nov 2020,0,65,61,61,-4,98759900,6071915700,947,9.6,61,9606400,0,0,71007759834,71007759834,71007759834,1190800,14572200,14700000,896700000,1
130,BRNA,Berlina Tbk.,--U-213000000035--------------,1120,0,10 Nov 2020,0,1140,1090,1140,20,25100,28167500,5,855.3,1140,19900,1130,30000,979110000,979110000,979110000,0,5000,0,0,0
131,BRPT,Barito Pacific Tbk.,--M-1K3440000034--------------,930,0,10 Nov 2020,0,975,920,970,40,129552600,123043236000,9188,379.3,975,4442500,970,222400,93388035625,93388035625,93388035625,5575800,16734400,0,0,0
132,BSDE,Bumi Serpong Damai Tbk.,--MO1HAWM1000061--------------,990,1020,10 Nov 2020,1015,1070,1005,1055,65,75939900,78906970500,5281,206.7,1060,534800,1055,2665500,21171365812,21171365812,21171365812,6165000,38916500,125030,134405750,2
133,BSIM,Bank Sinarmas Tbk.,--U-110500000081--------------,484,0,10 Nov 2020,0,500,472,488,4,23600,11514800,17,332.8,488,177200,482,500,17263895026,17263895026,17263895026,0,0,0,0,0
134,BSSR,Baramulti Suksessarana Tbk.,--U-213500000021--------------,1345,0,10 Nov 2020,0,1380,1350,1380,35,11600,15882000,18,70.8,1380,4100,1350,9000,2616500000,2616500000,2616500000,0,0,0,0,0
135,BSWD,Bank Of India Indonesia Tbk.,--U-210500000081--------------,1750,0,10 Nov 2020,0,0,0,1750,0,0,0,0,1306.7,0,0,0,0,1374912000,1374912000,1374912000,0,0,0,0,0
136,BTEK,Bumi Teknokultura Unggul Tbk,--U-213500000051--------------,50,0,10 Nov 2020,0,50,50,50,0,300,15000,3,383.1,50,34243600,0,0,46277496376,46277496376,46277496376,0,0,0,0,0
137,BTEL,Bakrie Telecom Tbk.,--U-110500000073---ED---------,50,0,10 Nov 2020,0,0,0,50,0,0,0,0,46.9,0,0,0,0,36822665755,36822665755,36822665755,0,0,0,0,0
